CustomerID,cluster,Customer_Segment,Days_Since_Last_Purchase,Total_Transactions,Total_Spend,Recommendation,Rec1_Description,Rec2_Description,Rec3_Description
12347.0,0,Best Customers,2,7,4310.0,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12362.0,0,Best Customers,3,13,4665.58,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12370.0,0,Best Customers,51,4,3421.94,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12388.0,0,Best Customers,15,6,2780.66,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12395.0,0,Best Customers,15,15,2662.28,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12397.0,0,Best Customers,35,2,2214.9,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12408.0,0,Best Customers,32,8,2587.57,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12417.0,0,Best Customers,3,12,3155.8,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12429.0,0,Best Customers,9,4,3388.4,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12431.0,0,Best Customers,35,18,6243.89,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12437.0,0,Best Customers,1,19,4392.66,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
12444.0,0,Best Customers,21,5,4085.46,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12449.0,0,Best Customers,22,4,3596.29,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12455.0,0,Best Customers,73,5,2339.86,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12456.0,0,Best Customers,44,4,2553.89,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,SMALL CHINESE STYLE SCISSOR
12457.0,0,Best Customers,58,11,1597.78,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12473.0,0,Best Customers,53,4,2545.27,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,SMALL CHINESE STYLE SCISSOR,WHITE HANGING HEART T-LIGHT HOLDER
12480.0,0,Best Customers,28,4,2885.63,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12481.0,0,Best Customers,22,11,4998.36,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,SMALL CHINESE STYLE SCISSOR
